step,x1,x2,y,f1,f2,Ax,Ay,Bx,By,C,time
65, -0.255016, 0.255015, 0.140820, 2.372053, 2.372040, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.236000
66, -0.248346, 0.248344, 0.145619, 2.339691, 2.339671, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.201000
67, -0.241507, 0.241505, 0.150587, 2.307939, 2.307921, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.244000
68, -0.234530, 0.234531, 0.155701, 2.276917, 2.276930, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.443000
69, -0.227463, 0.227465, 0.160932, 2.246819, 2.246836, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.530000
70, -0.220349, 0.220350, 0.166247, 2.217764, 2.217778, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.266000
71, -0.213240, 0.213239, 0.171611, 2.189896, 2.189884, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.550000
72, -0.206181, 0.206180, 0.176985, 2.163284, 2.163270, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.515000
73, -0.199229, 0.199227, 0.182327, 2.138043, 2.138031, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.564000
74, -0.192439, 0.192438, 0.187589, 2.114265, 2.114254, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.661000
75, -0.185866, 0.185867, 0.192725, 2.092006, 2.092019, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.731000
76, -0.179576, 0.179577, 0.197680, 2.071387, 2.071398, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.738000
77, -0.173626, 0.173628, 0.202402, 2.052456, 2.052467, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.731000
78, -0.168074, 0.168076, 0.206839, 2.035269, 2.035279, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.771000
79, -0.162977, 0.162978, 0.210938, 2.019877, 2.019886, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.667000
80, -0.158388, 0.158389, 0.214650, 2.006325, 2.006334, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.653000
81, -0.154358, 0.154359, 0.217927, 1.994654, 1.994663, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.521000
82, -0.150932, 0.150933, 0.220724, 1.984898, 1.984907, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.574000
83, -0.148153, 0.148154, 0.223001, 1.977089, 1.977099, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.636000
84, -0.146053, 0.146054, 0.224727, 1.971254, 1.971264, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.471000
85, -0.144667, 0.144666, 0.225869, 1.967441, 1.967432, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 3.896000
86, -0.143996, 0.143997, 0.226421, 1.965587, 1.965597, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 3.358000
87, -0.144073, 0.144074, 0.226358, 1.965799, 1.965810, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 2.261000
88, -0.144900, 0.144899, 0.225677, 1.968081, 1.968073, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 3.346000
89, -0.146454, 0.146455, 0.224397, 1.972364, 1.972373, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 3.952000
90, -0.148751, 0.148750, 0.222512, 1.978772, 1.978762, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.241000
91, -0.151750, 0.151749, 0.220056, 1.987225, 1.987215, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.646000
92, -0.155429, 0.155428, 0.217055, 1.997748, 1.997739, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.428000
93, -0.159753, 0.159752, 0.213545, 2.010339, 2.010329, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.246000
94, -0.164680, 0.164679, 0.209567, 2.024990, 2.024980, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.380000
95, -0.170161, 0.170160, 0.205168, 2.041688, 2.041677, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.635000
96, -0.176145, 0.176143, 0.200400, 2.060413, 2.060402, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.441000
97, -0.182572, 0.182571, 0.195315, 2.081138, 2.081124, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.859000
98, -0.189381, 0.189382, 0.189972, 2.103810, 2.103822, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.445000
99, -0.196518, 0.196519, 0.184421, 2.128438, 2.128450, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.335000
100, -0.203914, 0.203916, 0.178721, 2.154940, 2.154954, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.220000
101, -0.211507, 0.211508, 0.172926, 2.183259, 2.183271, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.384000
102, -0.219234, 0.219233, 0.167086, 2.213332, 2.213317, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.239000
103, -0.227029, 0.227028, 0.161255, 2.245025, 2.245009, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.282000
104, -0.234837, 0.234836, 0.155474, 2.278263, 2.278251, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.441000
105, -0.242601, 0.242603, 0.149787, 2.312916, 2.312933, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.450000
106, -0.250276, 0.250278, 0.144225, 2.348900, 2.348918, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.289000
107, -0.257809, 0.257810, 0.138824, 2.386032, 2.386043, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.307000
108, -0.265158, 0.265155, 0.133610, 2.424164, 2.424141, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.116000
109, -0.272279, 0.272277, 0.128608, 2.463064, 2.463047, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.200000
110, -0.279140, 0.279143, 0.123836, 2.502545, 2.502571, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.013000
111, -0.285722, 0.285725, 0.119304, 2.542462, 2.542488, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.193000
112, -0.291993, 0.291994, 0.115025, 2.582537, 2.582550, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.287000
113, -0.297936, 0.297932, 0.111005, 2.622548, 2.622512, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.041000
114, -0.303528, 0.303526, 0.107252, 2.662167, 2.662146, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 3.856000
115, -0.308765, 0.308765, 0.103763, 2.701186, 2.701184, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 3.980000
116, -0.313639, 0.313642, 0.100538, 2.739323, 2.739363, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 3.654000
117, -0.318148, 0.318148, 0.097575, 2.776337, 2.776348, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 3.829000
118, -0.322287, 0.322285, 0.094869, 2.811910, 2.811894, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 3.834000
119, -0.326055, 0.326053, 0.092417, 2.845741, 2.845715, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 3.534000
120, -0.329457, 0.329458, 0.090212, 2.877562, 2.877574, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 3.890000
121, -0.332499, 0.332504, 0.088247, 2.907131, 2.907195, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 3.262000
122, -0.335191, 0.335188, 0.086516, 2.934262, 2.934232, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 3.970000
123, -0.337530, 0.337525, 0.085015, 2.958603, 2.958545, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.929000
124, -0.339525, 0.339518, 0.083736, 2.979969, 2.979890, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 5.704000
125, -0.341183, 0.341175, 0.082675, 2.998168, 2.998067, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 6.327000
126, -0.342509, 0.342499, 0.081828, 3.013028, 3.012905, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 7.209000
127, -0.343507, 0.343495, 0.081191, 3.024401, 3.024258, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 7.305000
128, -0.344181, 0.344168, 0.080761, 3.032174, 3.032015, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 7.006000
129, -0.344533, 0.344519, 0.080537, 3.036261, 3.036093, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 6.546000
130, -0.344563, 0.344549, 0.080518, 3.036612, 3.036443, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 3.318000
131, -0.344255, 0.344268, 0.080705, 3.033022, 3.033184, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 6.529000
132, -0.343639, 0.343651, 0.081099, 3.025904, 3.026050, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 7.109000
133, -0.342693, 0.342704, 0.081703, 3.015110, 3.015237, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 6.703000
134, -0.341414, 0.341423, 0.082522, 3.000726, 3.000831, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 6.362000
135, -0.339792, 0.339799, 0.083560, 2.982868, 2.982950, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 5.554000
136, -0.337821, 0.337827, 0.084824, 2.961682, 2.961742, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 5.079000
137, -0.335492, 0.335494, 0.086321, 2.937347, 2.937378, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.201000
138, -0.332798, 0.332790, 0.088057, 2.910119, 2.910022, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 3.099000
139, -0.329717, 0.329716, 0.090045, 2.880044, 2.880036, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.113000
140, -0.326247, 0.326250, 0.092292, 2.847491, 2.847529, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 3.786000
141, -0.322381, 0.322382, 0.094806, 2.812739, 2.812749, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.210000
142, -0.318111, 0.318110, 0.097599, 2.776038, 2.776020, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.200000
143, -0.313430, 0.313425, 0.100679, 2.737662, 2.737612, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.000000
144, -0.308324, 0.308325, 0.104056, 2.697822, 2.697832, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.418000
145, -0.302800, 0.302802, 0.107738, 2.656883, 2.656914, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.260000
146, -0.296859, 0.296858, 0.111730, 2.615138, 2.615133, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.462000
147, -0.290504, 0.290502, 0.116038, 2.572837, 2.572816, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 3.956000
148, -0.283744, 0.283741, 0.120663, 2.530255, 2.530226, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.253000
149, -0.276586, 0.276587, 0.125608, 2.487602, 2.487617, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.241000
150, -0.269055, 0.269058, 0.130865, 2.445193, 2.445217, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.226000
151, -0.261180, 0.261179, 0.136426, 2.403281, 2.403270, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.402000
152, -0.252983, 0.252981, 0.142278, 2.362037, 2.362017, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.441000
153, -0.244504, 0.244502, 0.148404, 2.321682, 2.321664, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.408000
154, -0.235777, 0.235779, 0.154783, 2.282363, 2.282379, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.624000
155, -0.226861, 0.226862, 0.161379, 2.244313, 2.244328, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.709000
156, -0.217812, 0.217811, 0.168156, 2.207698, 2.207685, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.992000
157, -0.208686, 0.208685, 0.175072, 2.172612, 2.172598, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.993000
158, -0.199550, 0.199549, 0.182079, 2.139190, 2.139178, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.918000
159, -0.190470, 0.190471, 0.189122, 2.107511, 2.107524, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 5.239000
160, -0.181534, 0.181535, 0.196133, 2.077735, 2.077746, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.970000
161, -0.172822, 0.172821, 0.203043, 2.049949, 2.049937, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 5.100000
162, -0.164408, 0.164407, 0.209785, 2.024174, 2.024163, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 5.197000
163, -0.156380, 0.156379, 0.216282, 2.000494, 2.000485, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 5.131000
