step,x1,x2,y,f1,f2,Ax,Ay,Bx,By,C,time
195, -0.277081, 0.277080, 0.125264, 2.490485, 2.490470, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.613000
196, -0.285549, 0.285552, 0.119422, 2.541385, 2.541415, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.142000
197, -0.293611, 0.293612, 0.113927, 2.593225, 2.593239, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.262000
198, -0.301235, 0.301231, 0.108787, 2.645680, 2.645641, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.019000
199, -0.308398, 0.308397, 0.104007, 2.698387, 2.698377, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.217000
200, -0.315092, 0.315095, 0.099581, 2.751061, 2.751102, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 3.991000
201, -0.321314, 0.321313, 0.095504, 2.803402, 2.803400, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.518000
202, -0.327055, 0.327053, 0.091768, 2.854962, 2.854940, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.008000
203, -0.332316, 0.332325, 0.088363, 2.905323, 2.905419, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 3.566000
204, -0.337124, 0.337120, 0.085275, 2.954326, 2.954273, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 5.697000
205, -0.341469, 0.341460, 0.082493, 3.001347, 3.001241, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 8.324000
206, -0.345370, 0.345355, 0.080003, 3.046079, 3.045884, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 12.462000
207, -0.348847, 0.348815, 0.077791, 3.088184, 3.087772, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 19.749000
208, -0.351952, 0.351821, 0.075846, 3.127774, 3.126044, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 57.213000
209, -0.370112, 0.335896, 0.075134, 3.371370, 2.911932, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 65.584000
210, -0.379850, 0.326155, 0.075135, 3.507035, 2.776225, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 23.273000
211, -0.385794, 0.320210, 0.075135, 3.593268, 2.689979, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 15.333000
212, -0.389918, 0.316085, 0.075135, 3.655243, 2.627997, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 12.248000
213, -0.392860, 0.313144, 0.075135, 3.700789, 2.582447, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 10.946000
214, -0.394920, 0.311083, 0.075135, 3.733476, 2.549758, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 9.271000
215, -0.396263, 0.309739, 0.075135, 3.755184, 2.528048, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 8.146000
216, -0.396982, 0.309021, 0.075135, 3.766934, 2.516297, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 7.382000
217, -0.397121, 0.308882, 0.075135, 3.769217, 2.514015, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.901000
218, -0.396696, 0.309301, 0.075138, 3.762218, 2.520920, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 6.372000
219, -0.395666, 0.310331, 0.075138, 3.745466, 2.537672, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 7.666000
220, -0.393971, 0.312025, 0.075138, 3.718317, 2.564818, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 9.114000
221, -0.391488, 0.314508, 0.075138, 3.679377, 2.603756, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 10.808000
222, -0.387995, 0.318001, 0.075138, 3.626066, 2.657062, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 12.523000
223, -0.383062, 0.322933, 0.075138, 3.553209, 2.729909, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 16.625000
224, -0.375645, 0.330348, 0.075139, 3.447730, 2.835367, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 25.239000
225, -0.359799, 0.346179, 0.075144, 3.232191, 3.050700, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 123.772000
226, -0.350390, 0.350337, 0.076816, 3.107605, 3.106914, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 31.820000
227, -0.347056, 0.347077, 0.078915, 3.066202, 3.066471, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 15.330000
228, -0.343319, 0.343331, 0.081303, 3.022242, 3.022382, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 9.229000
229, -0.339112, 0.339118, 0.083996, 2.975486, 2.975561, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 5.901000
230, -0.334417, 0.334415, 0.087013, 2.926370, 2.926347, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 3.599000
231, -0.329209, 0.329210, 0.090373, 2.875200, 2.875210, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 3.920000
232, -0.323476, 0.323477, 0.094093, 2.822429, 2.822436, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.226000
233, -0.317209, 0.317205, 0.098191, 2.768495, 2.768456, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.061000
234, -0.310389, 0.310390, 0.102687, 2.713691, 2.713701, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.493000
235, -0.303015, 0.303019, 0.107593, 2.658435, 2.658476, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.014000
236, -0.295093, 0.295092, 0.112923, 2.603154, 2.603138, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.276000
237, -0.286625, 0.286622, 0.118687, 2.548116, 2.548086, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.376000
238, -0.277617, 0.277618, 0.124892, 2.493597, 2.493616, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.496000
239, -0.268098, 0.268101, 0.131537, 2.439969, 2.439992, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.451000
240, -0.258104, 0.258102, 0.138614, 2.387534, 2.387515, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.613000
241, -0.247665, 0.247663, 0.146112, 2.336467, 2.336449, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.802000
242, -0.236823, 0.236825, 0.154014, 2.286962, 2.286980, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.863000
243, -0.225652, 0.225651, 0.162280, 2.239317, 2.239306, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 5.185000
244, -0.214211, 0.214209, 0.170876, 2.193641, 2.193627, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 5.147000
245, -0.202573, 0.202574, 0.179751, 2.150058, 2.150071, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 5.317000
246, -0.190830, 0.190832, 0.188841, 2.108739, 2.108751, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 5.288000
247, -0.179085, 0.179084, 0.198069, 2.069815, 2.069803, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 5.550000
248, -0.167430, 0.167429, 0.207356, 2.033315, 2.033305, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 5.440000
249, -0.155971, 0.155972, 0.216614, 1.999300, 1.999310, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 5.548000
250, -0.144842, 0.144841, 0.225725, 1.967922, 1.967911, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 5.830000
